start,finish,"src_ip","dst_ip",duration,"num_dst_port","total_bytes","num_packets",mbps
"2017-07-05 11:42:44.720","2017-07-05 12:06:12.074","13.107.4.50","192.168.10.15","1407.354417",3,3096822572,1425246,"2200456.783"
"2017-07-05 12:01:00.533","2017-07-05 14:20:08.915","172.16.0.1","192.168.10.50","8348.382272",1,76925734,1383624,"9214.447961"
"2017-07-05 11:43:24.371","2017-07-05 11:56:01.207","13.107.4.50","192.168.10.14","756.836818",2,2383606434,1081052,"3149432.45"
"2017-07-05 12:01:00.533","2017-07-05 14:20:08.915","192.168.10.50","172.16.0.1","8348.382178",14116,1910023352,1056926,"228789.6399"
"2017-07-05 11:42:44.698","2017-07-05 12:06:12.074","192.168.10.15","13.107.4.50","1407.376780",1,228721,1056451,"162.5158261"
"2017-07-05 11:43:24.348","2017-07-05 11:54:52.534","192.168.10.14","13.107.4.50","688.186289",1,188470,835598,"273.864799"
"2017-07-05 13:54:12.420","2017-07-05 14:11:21.718","151.101.44.65","192.168.10.15","1029.297752",8,606396560,303423,"589136.1938"
"2017-07-05 13:54:12.388","2017-07-05 14:11:21.752","192.168.10.15","151.101.44.65","1029.364015",1,1295995,198808,"1259.024972"
"2017-07-05 11:44:12.062","2017-07-05 12:15:22.086","165.254.0.106","192.168.10.15","1870.024792",4,627262527,184032,"335430.0594"
"2017-07-05 11:44:12.038","2017-07-05 12:15:22.086","192.168.10.15","165.254.0.106","1870.047990",1,4796,161858,"2.564640066"
"2017-07-05 12:08:15.007","2017-07-05 12:10:36.413","23.15.4.16","192.168.10.14","141.405851",3,399582175,157518,"2825782.47"
"2017-07-05 12:08:14.992","2017-07-05 12:10:36.413","192.168.10.14","23.15.4.16","141.421030",1,4796,112243,"33.9129194"
"2017-07-05 11:49:29.455","2017-07-05 11:53:09.612","23.15.4.19","192.168.10.14","220.156842",9,110612828,49117,"502427.392"
"2017-07-05 11:49:29.440","2017-07-05 11:53:09.612","192.168.10.14","23.15.4.19","220.171968",1,20019,44006,"90.9243814"
"2017-07-05 11:42:48.989","2017-07-05 14:59:58.743","192.168.10.3","192.168.10.1","11829.753934",0,0,28983,0
"2017-07-05 11:51:11.793","2017-07-05 14:41:55.814","23.15.4.9","192.168.10.15","10244.020865",12,66604528,28962,"6501.7954256"
"2017-07-05 11:42:49.020","2017-07-05 14:59:58.774","192.168.10.1","192.168.10.3","11829.754419",0,0,28577,0
"2017-07-05 11:51:11.778","2017-07-05 14:41:55.814","192.168.10.15","23.15.4.9","10244.036275",2,17675,27352,"1.7253941245"
"2017-07-05 11:42:57.350","2017-07-05 14:59:58.773","192.168.10.15","192.168.10.3","11821.423600",6,199130,25848,"16.844840921"
"2017-07-05 11:42:57.350","2017-07-05 14:59:58.775","192.168.10.3","192.168.10.15","11821.424615",36,137464,21027,"11.628378514"
"2017-07-05 12:51:50.592","2017-07-05 14:47:44.767","172.16.0.1","192.168.10.51","6954.175314",1243,21002200,20443,"3020.084920"
"2017-07-05 11:52:12.255","2017-07-05 13:19:07.636","23.15.4.19","192.168.10.15","5215.380490",4,54904859,19209,"10527.48867"
"2017-07-05 12:51:50.591","2017-07-05 14:47:44.767","192.168.10.51","172.16.0.1","6954.175391",1,3701153,18609,"532.2202550"
"2017-07-05 11:42:50.579","2017-07-05 14:59:57.416","192.168.10.8","192.168.10.3","11826.836419",6,132840,17388,"11.232082300"
"2017-07-05 11:42:50.579","2017-07-05 14:59:57.453","192.168.10.3","192.168.10.8","11826.873110",51,106322,17105,"8.9898656232"
"2017-07-05 11:42:59.177","2017-07-05 14:59:06.683","192.168.10.14","192.168.10.3","11767.506106",6,195354,15465,"16.601138613"
"2017-07-05 11:42:43.604","2017-07-05 14:58:13.753","192.168.10.12","192.168.10.3","11730.149178",3,88410,15114,"7.5369885462"
"2017-07-05 11:42:43.604","2017-07-05 14:58:13.807","192.168.10.3","192.168.10.12","11730.203184",24,131106,14727,"11.176788496"
"2017-07-05 11:42:43.992","2017-07-05 14:57:54.744","192.168.10.9","192.168.10.3","11710.752327",6,208246,13662,"17.782461296"
"2017-07-05 11:42:43.992","2017-07-05 14:57:54.744","192.168.10.3","192.168.10.9","11710.751995",44,112202,13345,"9.5811097398"
"2017-07-05 11:42:59.177","2017-07-05 14:59:06.683","192.168.10.3","192.168.10.14","11767.506114",35,139368,12463,"11.843461023"
"2017-07-05 11:43:26.983","2017-07-05 14:59:52.020","192.168.10.50","192.168.10.3","11785.037242",3,1498550,11792,"127.15700165"
"2017-07-05 11:52:12.235","2017-07-05 13:19:07.636","192.168.10.15","23.15.4.19","5215.400969",1,2703,10900,"0.5182727112"
"2017-07-05 11:42:42.733","2017-07-05 14:59:17.009","192.168.10.17","192.168.10.3","11794.275382",3,136236,9928,"11.551027561"
"2017-07-05 11:42:52.552","2017-07-05 14:58:35.505","192.168.10.5","192.168.10.3","11742.953015",6,219154,9898,"18.662597025"
"2017-07-05 11:42:42.734","2017-07-05 14:59:17.009","192.168.10.3","192.168.10.17","11794.275638",31,197062,9672,"16.708274934"
"2017-07-05 11:42:48.350","2017-07-05 14:58:38.434","192.168.10.16","192.168.10.3","11750.084513",3,86612,9328,"7.3711810247"
