start,finish,"src_ip","dst_ip",duration,"num_dst_port","total_bytes","num_packets",mbps
"2017-07-03 12:22:34.061","2017-07-03 12:44:00.382","13.107.4.50","192.168.10.15","1286.321005",4,3095519893,1402254,"2406490.978"
"2017-07-03 12:09:40.687","2017-07-03 12:37:23.429","13.107.4.50","192.168.10.14","1662.742324",9,2776858020,1209386,"1670047.114"
"2017-07-03 12:22:34.039","2017-07-03 12:42:55.660","192.168.10.15","13.107.4.50","1221.621161",1,219182,1054127,"179.4189615"
"2017-07-03 12:09:40.664","2017-07-03 12:37:23.429","192.168.10.14","13.107.4.50","1662.764581",1,174586,915192,"104.9974254"
"2017-07-03 12:48:18.543","2017-07-03 13:34:24.394","23.15.4.24","192.168.10.15","2765.851649",5,629363535,225815,"227547.8279"
"2017-07-03 12:48:18.528","2017-07-03 13:34:24.379","192.168.10.15","23.15.4.24","2765.851551",2,5725,192499,"2.069886939"
"2017-07-03 11:56:39.676","2017-07-03 14:52:21.452","192.168.10.3","192.168.10.1","10541.776603",0,0,33932,0
"2017-07-03 11:56:39.706","2017-07-03 14:52:21.388","192.168.10.1","192.168.10.3","10541.681801",0,0,33237,0
"2017-07-03 12:26:49.985","2017-07-03 14:22:48.144","23.15.4.9","192.168.10.15","6958.159014",5,52925026,28464,"7606.182310"
"2017-07-03 11:56:37.897","2017-07-03 14:50:13.850","192.168.10.9","192.168.10.3","10415.953607",8,237265,25067,"22.778999307"
"2017-07-03 11:56:37.897","2017-07-03 14:50:14.176","192.168.10.3","192.168.10.9","10416.278986",56,143694,24235,"13.795137418"
"2017-07-03 12:26:49.970","2017-07-03 14:22:48.144","192.168.10.15","23.15.4.9","6958.174349",1,4185,22862,"0.6014508677"
"2017-07-03 12:08:10.823","2017-07-03 14:52:16.721","192.168.10.5","192.168.10.3","9845.897860",6,316302,22342,"32.12525709"
"2017-07-03 12:03:03.285","2017-07-03 14:51:38.198","192.168.10.14","192.168.10.3","10114.913224",6,326448,20102,"32.273929866"
"2017-07-03 12:03:03.285","2017-07-03 14:51:38.199","192.168.10.3","192.168.10.14","10114.913227",58,284386,18485,"28.115515539"
"2017-07-03 11:57:21.576","2017-07-03 14:52:18.564","192.168.10.12","192.168.10.3","10496.987290",4,161680,16331,"15.402514601"
"2017-07-03 11:57:21.577","2017-07-03 14:52:18.564","192.168.10.3","192.168.10.12","10496.987096",37,231228,15959,"22.028035081"
"2017-07-03 12:38:45.524","2017-07-03 14:50:36.793","192.33.31.192","192.168.10.5","7911.268544",24,28566861,15458,"3610.907763"
"2017-07-03 12:08:10.823","2017-07-03 14:52:16.722","192.168.10.3","192.168.10.5","9845.898395",62,277408,14996,"28.17498098"
